"TOA5","USL_MET_IP","CR1000","81651","CR1000.Std.30.01","CPU:Met1000_line797_rainMET.CR1","7226","TRB_Avg"
"TIMESTAMP","RECORD","AirTempC_Avg","RHumidity_Avg","P_mb_Avg","SolarRad_Avg","Precip_mm_Max","Precip_mm_TMx"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Max","TMx"
"2017-05-23 16:44:30",0,18.11,50.12,954.8733,35.26,0,"2017-05-23 16:30:30"
"2017-05-23 16:59:30",1,18.46,48.54,954.694,69.91,0,"2017-05-23 16:45:30"
"2017-05-23 17:14:30",2,18.73,47.39,954.7216,51.03,0,"2017-05-23 17:00:30"
"2017-05-23 17:29:30",3,18.53,47.99,954.6416,48.77,0,"2017-05-23 17:15:30"
"2017-05-23 17:44:30",4,18.66,46.81,954.5416,36.37,0,"2017-05-23 17:30:30"
"2017-05-23 17:59:30",5,18.33,48.68,954.5707,19.84,0,"2017-05-23 17:45:30"
"2017-05-23 18:14:30",6,18.13,50.32,954.5662,16.32,0,"2017-05-23 18:00:30"
"2017-05-23 18:29:30",7,18.13,50.24,954.527,21.6,0,"2017-05-23 18:15:30"
"2017-05-23 18:44:30",8,18.16,50.57,954.5223,22.18,0,"2017-05-23 18:30:30"
"2017-05-23 18:59:30",9,18.61,49.01,954.4757,20.71,0,"2017-05-23 18:45:30"
"2017-05-23 19:14:30",10,18.35,51.47,954.4594,24.36,0,"2017-05-23 19:00:30"
"2017-05-23 19:29:30",11,18.22,51.63,954.468,20.11,0,"2017-05-23 19:15:30"
"2017-05-23 19:44:30",12,18.24,50.77,954.6069,14.43,0,"2017-05-23 19:30:30"
"2017-05-23 19:59:30",13,17.79,52.7,954.6773,8.73,0,"2017-05-23 19:45:30"
"2017-05-23 20:14:30",14,17.32,54.54,954.8049,3.779,0,"2017-05-23 20:00:30"
"2017-05-23 20:29:30",15,16.61,58.37,954.8324,1.037,0,"2017-05-23 20:15:30"
"2017-05-23 20:44:30",16,14.9,70.57,954.8181,0.577,0,"2017-05-23 20:30:30"
"2017-05-23 20:59:30",17,14.53,69.9,954.7783,0.016,0,"2017-05-23 20:45:30"
"2017-05-23 21:14:30",18,13.69,74.82,954.8212,0,0,"2017-05-23 21:00:30"
"2017-05-23 21:29:30",19,13.2,81.7,954.8181,0,0,"2017-05-23 21:15:30"
"2017-05-23 21:44:30",20,13.1,83.8,954.7756,0,0,"2017-05-23 21:30:30"
"2017-05-23 21:59:30",21,12.73,84.1,954.6107,0,0,"2017-05-23 21:45:30"
"2017-05-23 22:14:30",22,12.24,85.8,954.6196,0,0,"2017-05-23 22:00:30"
"2017-05-23 22:29:30",23,12.13,86.4,954.7308,0,0,"2017-05-23 22:15:30"
"2017-05-23 22:44:30",24,12.02,86.5,954.8278,0,0,"2017-05-23 22:30:30"
"2017-05-23 22:59:30",25,12.09,85.8,954.8596,0,0,"2017-05-23 22:45:30"
"2017-05-23 23:14:30",26,11.82,86.9,954.7648,0,0,"2017-05-23 23:00:30"
"2017-05-23 23:29:30",27,11.26,88.8,954.756,0,0,"2017-05-23 23:15:30"
"2017-05-23 23:44:30",28,11.22,89.9,954.7261,0,0,"2017-05-23 23:30:30"
"2017-05-23 23:59:30",29,10.96,90.8,954.6608,0,0,"2017-05-23 23:45:30"
"2017-05-24 00:14:30",30,10.82,91.8,954.5782,0,0,"2017-05-24 00:00:30"
"2017-05-24 00:29:30",31,11.22,90,954.3436,0,0,"2017-05-24 00:15:30"
"2017-05-24 00:44:30",32,11.01,89.9,954.1371,0,0,"2017-05-24 00:30:30"
