"TOA5","USL_Winch_IP","CR1000","83445","CR1000.Std.31","CPU:USL_1M_6H.cr1","21122","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2017-05-23 13:41:18.28",0,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(824); modemResetMin(1432)"
"2017-05-23 13:44:37.32",1,"***** Datalogger Reset *****","Program Signature: 21122; Profiler version: 30.4; debug: 0; Modbus: 0; [49477]."
"2017-05-23 13:44:37.54",2,"",""
"2017-05-23 13:57:31",3,"[05/23/2017 13:57:31.69]  ERROR: Wipe time limit reached (150.99 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2017-05-23 14:57:30",4,"[05/23/2017 14:57:30.68]  ERROR: Wipe time limit reached (150 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2017-05-23 15:57:30",5,"[05/23/2017 15:57:30.68]  ERROR: Wipe time limit reached (150 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2017-05-23 16:57:30",6,"[05/23/2017 16:57:30.68]  ERROR: Wipe time limit reached (150 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2017-05-23 17:57:30",7,"[05/23/2017 17:57:30.68]  ERROR: Wipe time limit reached (150 sec).  (Hourly Sonde Data setup Mode)","Sonde not responding correctly to wipe command."
"2017-05-23 18:25:10",8,"[05/23/2017 18:25:10.11] ------------------ Start of  profile [1] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-23 18:25:10",9,"[05/23/2017 18:25:18.40]  New Profile Sonde found (16L101105); version: 1.0.18  # , Date: 04-23-2015 10:47:00, params:  1 7 240 22 211 212 18 223 216 225 194 193 28 230.",""
"2017-05-23 18:25:10",10,"[05/23/2017 18:25:26.56]  Water available (26.80124); Start Depth (1); End Depth (24.80124) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-23 18:58:18",11,"[05/23/2017 19:01:30.85] ------------------ End of profile [1] ------------------",""
"2017-05-23 23:52:00",12,"[05/23/2017 23:52:00.01]        Turning modem OFF","ModemCounter (1241); modemCurrMin(1431); resetModem(53)"
"2017-05-23 23:53:01",13,"[05/23/2017 23:53:01.01]        Turning modem back ON","ModemCounter (1302); modemCurrMin(1433); resetModem(0)"
"2017-05-24 00:00:00",14,"[05/24/2017 00:00:00.09] ------------------ Start of  profile [2] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
