"TOA5","USL_Winch_IP","CR1000","83445","CR1000.Std.31","CPU:USL_1M_6H.cr1","21122","SystemInternals"
"TIMESTAMP","RECORD","P_RH_Avg","P_Temp_Avg","P_Batt_Min","P_Batt_Max"
"TS","RN","","","",""
"","","Avg","Avg","Min","Max"
"2017-05-23 14:00:00",0,40.55,22.64,12.67,13.5
"2017-05-23 15:00:00",1,41.59,22.56,13.25,14.11
"2017-05-23 16:00:00",2,41.23,22.93,13.07,13.29
"2017-05-23 17:00:00",3,41.26,22.74,13.27,14.11
"2017-05-23 18:00:00",4,40.83,22.02,13.27,14.12
"2017-05-23 20:00:00",5,40.95,21.5,12.71,14.15
"2017-05-23 21:00:00",6,40.65,21.23,12.97,13.46
"2017-05-23 22:00:00",7,40.99,19.52,12.9,13.04
"2017-05-23 23:00:00",8,41.47,17.51,12.84,12.96
"2017-05-24 00:00:00",9,41.72,15.93,12.8,12.91
"2017-05-24 01:00:00",10,41.72,14.8,12.17,12.87
"2017-05-24 02:00:00",11,41.72,13.87,12.18,12.88
"2017-05-24 03:00:00",12,41.64,13.1,12.76,12.87
"2017-05-24 04:00:00",13,41.35,12.68,12.74,12.87
"2017-05-24 05:00:00",14,41.42,12.19,12.71,12.86
"2017-05-24 06:00:00",15,41.46,11.79,12.56,12.93
"2017-05-24 07:00:00",16,41.36,11.71,12.21,13.84
"2017-05-24 08:00:00",17,41.1,12.07,13.34,13.62
"2017-05-24 09:00:00",18,40.73,12.87,13.31,14.15
"2017-05-24 10:00:00",19,39.61,14.78,13.23,14.36
"2017-05-24 11:00:00",20,39.02,17.76,13.28,14.12
"2017-05-24 12:00:00",21,38.96,20.84,13.26,14.11
"2017-05-24 13:00:00",22,39.22,23.38,13.23,14.25
"2017-05-24 14:00:00",23,39.4,25.38,13.2,14.13
"2017-05-24 15:00:00",24,40.11,26.3,12,14.44
"2017-05-24 16:00:00",25,41.05,25.83,12.86,14.42
"2017-05-24 17:00:00",26,41.53,24.63,13.27,14.12
"2017-05-24 18:00:00",27,41.31,23.51,13.26,14.14
"2017-05-24 19:00:00",28,41.11,22.9,13.17,14.29
"2017-05-24 20:00:00",29,40.9,22.09,12.97,13.34
"2017-05-24 21:00:00",30,41,20.66,12.31,13.09
"2017-05-24 22:00:00",31,41.17,19.05,12.89,13.03
"2017-05-24 23:00:00",32,41.31,17.59,12.87,13
"2017-05-25 00:00:00",33,41.31,16.52,12.87,12.97
"2017-05-25 07:00:00",34,42.82,14.19,12.97,13.04
"2017-05-25 08:00:00",35,40.69,15.58,12.91,13.1
"2017-05-25 09:00:00",36,39.91,16.47,13.03,14
"2017-05-25 10:00:00",37,40,16.86,13.16,14.33
"2017-05-25 11:00:00",38,40.03,17.03,13.37,14.16
"2017-05-25 12:00:00",39,40.25,16.57,13.05,13.66
"2017-05-25 13:00:00",40,40.38,16.23,13.18,13.88
"2017-05-25 14:00:00",41,40.42,16.02,13.47,13.97
"2017-05-25 15:00:00",42,39.91,15.97,13.13,13.5
"2017-05-25 16:00:00",43,40.4,15.32,13.21,14.18
"2017-05-25 17:00:00",44,40.73,14.74,13.26,13.71
"2017-05-25 18:00:00",45,40.7,14.44,13.32,14.16
"2017-05-25 19:00:00",46,40.68,14.38,12.93,13.47
"2017-05-25 20:00:00",47,40.63,14.35,13.06,13.23
"2017-05-25 21:00:00",48,40.6,14.32,12.97,13.07
"2017-05-25 22:00:00",49,40.56,14.21,12.92,13
"2017-05-25 23:00:00",50,40.63,13.98,12.87,12.96
"2017-05-26 00:00:00",51,40.7,13.7,12.85,12.92
"2017-05-26 01:00:00",52,40.68,13.62,12.71,12.9
"2017-05-26 02:00:00",53,40.63,13.56,12.83,12.9
"2017-05-26 03:00:00",54,40.71,13.42,12.82,12.89
"2017-05-26 04:00:00",55,40.73,13.32,12.81,12.88
"2017-05-26 05:00:00",56,40.68,13.3,12.81,12.88
"2017-05-26 06:00:00",57,40.76,13.31,12.81,12.88
"2017-05-26 07:00:00",58,40.77,13.29,12.69,12.88
"2017-05-26 08:00:00",59,40.77,13.2,12.82,13.02
"2017-05-26 09:00:00",60,40.73,13.3,12.95,13.18
"2017-05-26 10:00:00",61,40.55,13.71,13.13,13.3
"2017-05-26 11:00:00",62,40.58,13.96,13.22,13.66
"2017-05-26 12:00:00",63,40.37,14.46,13.33,13.47
"2017-05-26 13:00:00",64,40.39,14.7,13.22,13.6
"2017-05-26 14:00:00",65,40.25,14.85,13.37,13.54
"2017-05-26 15:00:00",66,40.46,14.61,13.47,13.68
"2017-05-26 16:00:00",67,40.52,14.59,13.58,14.01
"2017-05-26 17:00:00",68,40.48,14.78,13.3,13.91
"2017-05-26 18:00:00",69,40.34,14.82,13.27,13.41
"2017-05-26 19:00:00",70,40.52,14.43,12.92,13.3
"2017-05-26 20:00:00",71,40.67,13.91,13.02,13.11
"2017-05-26 21:00:00",72,40.84,13.36,12.96,13.04
"2017-05-26 22:00:00",73,40.91,12.97,12.92,13
"2017-05-26 23:00:00",74,40.91,12.74,12.88,12.96
"2017-05-27 00:00:00",75,40.91,12.55,12.86,12.93
"2017-05-27 01:00:00",76,40.89,12.48,12.7,12.88
"2017-05-27 02:00:00",77,40.91,12.22,12.8,12.88
"2017-05-27 03:00:00",78,40.96,11.89,12.79,12.87
"2017-05-27 04:00:00",79,41.05,11.54,12.8,12.86
"2017-05-27 05:00:00",80,41.05,11.31,12.78,12.86
"2017-05-27 06:00:00",81,41.06,11.1,12.78,12.85
"2017-05-27 07:00:00",82,41.09,11.04,12.67,12.97
"2017-05-27 08:00:00",83,40.98,11.18,12.94,13.47
"2017-05-27 09:00:00",84,40.5,11.98,13.43,13.66
"2017-05-27 10:00:00",85,39.77,13.66,13.6,14.03
"2017-05-27 11:00:00",86,39.14,15.95,13.33,14.15
"2017-05-27 12:00:00",87,39.01,18.3,13.29,14.13
"2017-05-27 13:00:00",88,38.96,20.67,13.31,14.13
"2017-05-27 14:00:00",89,38.97,22.54,13.25,14.13
"2017-05-27 15:00:00",90,39.06,24.34,13.27,14.11
"2017-05-27 16:00:00",91,39.98,24.92,13.24,14.13
"2017-05-27 17:00:00",92,40.87,24.14,13.27,13.89
"2017-05-27 18:00:00",93,41.11,22.78,13.33,13.67
